id,sequence,time,created_at,updated_at
17,35,17:00:00,2026-06-19 08:46:26.736288,2026-06-19 08:46:26.736288
18,36,17:30:00,2026-06-19 08:46:26.757429,2026-06-19 08:46:26.757429
19,37,18:00:00,2026-06-19 08:46:26.759001,2026-06-19 08:46:26.759001
20,38,18:30:00,2026-06-19 08:46:26.760399,2026-06-19 08:46:26.760399
21,39,19:00:00,2026-06-19 08:46:26.76174,2026-06-19 08:46:26.76174
22,40,19:30:00,2026-06-19 08:46:26.762859,2026-06-19 08:46:26.762859
23,41,20:00:00,2026-06-19 08:46:26.763954,2026-06-19 08:46:26.763954
24,42,20:30:00,2026-06-19 08:46:26.76516,2026-06-19 08:46:26.76516
25,43,21:00:00,2026-06-19 08:46:26.766258,2026-06-19 08:46:26.766258
26,44,21:30:00,2026-06-19 08:46:26.767315,2026-06-19 08:46:26.767315
27,45,22:00:00,2026-06-19 08:46:26.768303,2026-06-19 08:46:26.768303
28,46,22:30:00,2026-06-19 08:46:26.769294,2026-06-19 08:46:26.769294
29,47,23:00:00,2026-06-19 08:46:26.770273,2026-06-19 08:46:26.770273
30,48,23:30:00,2026-06-19 08:46:26.771338,2026-06-19 08:46:26.771338
31,1,00:00:00,2026-06-19 08:46:26.772329,2026-06-19 08:46:26.772329
32,2,00:30:00,2026-06-19 08:46:26.773309,2026-06-19 08:46:26.773309
33,3,01:00:00,2026-06-19 08:46:26.774298,2026-06-19 08:46:26.774298
34,4,01:30:00,2026-06-19 08:46:26.775277,2026-06-19 08:46:26.775277
35,5,02:00:00,2026-06-19 08:46:26.776257,2026-06-19 08:46:26.776257
36,6,02:30:00,2026-06-19 08:46:26.777242,2026-06-19 08:46:26.777242
37,7,03:00:00,2026-06-19 08:46:26.778222,2026-06-19 08:46:26.778222
38,8,03:30:00,2026-06-19 08:46:26.779211,2026-06-19 08:46:26.779211
39,9,04:00:00,2026-06-19 08:46:26.780194,2026-06-19 08:46:26.780194
40,10,04:30:00,2026-06-19 08:46:26.781174,2026-06-19 08:46:26.781174
41,11,05:00:00,2026-06-19 08:46:26.782209,2026-06-19 08:46:26.782209
42,12,05:30:00,2026-06-19 08:46:26.783202,2026-06-19 08:46:26.783202
43,13,06:00:00,2026-06-19 08:46:26.784287,2026-06-19 08:46:26.784287
44,14,06:30:00,2026-06-19 08:46:26.785269,2026-06-19 08:46:26.785269
45,15,07:00:00,2026-06-19 08:46:26.786251,2026-06-19 08:46:26.786251
46,16,07:30:00,2026-06-19 08:46:26.787334,2026-06-19 08:46:26.787334
47,17,08:00:00,2026-06-19 08:46:26.788322,2026-06-19 08:46:26.788322
48,18,08:30:00,2026-06-19 08:46:26.789312,2026-06-19 08:46:26.789312
49,19,09:00:00,2026-06-19 08:46:26.790294,2026-06-19 08:46:26.790294
50,20,09:30:00,2026-06-19 08:46:26.791283,2026-06-19 08:46:26.791283
51,21,10:00:00,2026-06-19 08:46:26.792265,2026-06-19 08:46:26.792265
52,22,10:30:00,2026-06-19 08:46:26.793246,2026-06-19 08:46:26.793246
53,23,11:00:00,2026-06-19 08:46:26.794226,2026-06-19 08:46:26.794226
54,24,11:30:00,2026-06-19 08:46:26.795246,2026-06-19 08:46:26.795246
55,25,12:00:00,2026-06-19 08:46:26.796241,2026-06-19 08:46:26.796241
56,26,12:30:00,2026-06-19 08:46:26.797223,2026-06-19 08:46:26.797223
57,27,13:00:00,2026-06-19 08:46:26.798205,2026-06-19 08:46:26.798205
58,28,13:30:00,2026-06-19 08:46:26.79924,2026-06-19 08:46:26.79924
59,29,14:00:00,2026-06-19 08:46:26.800225,2026-06-19 08:46:26.800225
60,30,14:30:00,2026-06-19 08:46:26.801217,2026-06-19 08:46:26.801217
61,31,15:00:00,2026-06-19 08:46:26.802293,2026-06-19 08:46:26.802293
62,32,15:30:00,2026-06-19 08:46:26.803341,2026-06-19 08:46:26.803341
63,33,16:00:00,2026-06-19 08:46:26.804331,2026-06-19 08:46:26.804331
64,34,16:30:00,2026-06-19 08:46:26.805318,2026-06-19 08:46:26.805318
